Indicator,Country,Year,Value
MRT_Ridership,Singapore,2022,
LRT_Ridership,Singapore,2022,
Bus_Ridership,Singapore,2022,
P2P_Trip,Singapore,2022,
MRT_Ridership,Singapore,2021,2745.0
LRT_Ridership,Singapore,2021,184.0
Bus_Ridership,Singapore,2021,3461.0
P2P_Trip,Singapore,2021,582.0
MRT_Ridership,Singapore,2020,2100.0
LRT_Ridership,Singapore,2020,151.0
Bus_Ridership,Singapore,2020,3008.0
P2P_Trip,Singapore,2020,554.0
MRT_Ridership,Singapore,2023,2023.0
LRT_Ridership,Singapore,2023,139.0
Bus_Ridership,Singapore,2023,2878.0
P2P_Trip,Singapore,2023,516.0
MRT_Ridership,Singapore,2019,3384.0
LRT_Ridership,Singapore,2019,208.0
Bus_Ridership,Singapore,2019,4099.0
P2P_Trip,Singapore,2019,772.0
Domestic_Air,Japan,2019,101873
Domestic_Air,Japan,2020,33768
Domestic_Air,Japan,2021,49695
International_Air,Japan,2019,21434
International_Air,Japan,2020,798
International_Air,Japan,2021,1761
Rail,Japan,2019,25189.733
Rail,Japan,2020,17669.659
Rail,Japan,2021,18805.399
Road,Japan,2019,
Road,Japan,2020,
Road,Japan,2021,
Freight_TEUs,Japan,2019,341554.0
Freight_TEUs,Japan,2020,302233.0
Freight_TEUs,Japan,2021,363711.0
Air_Passenger,UK,2021,64.3
Air_Passenger,UK,2020,73.7
Air_Passenger,UK,2019,0.85
Passenger_Index,Germany,2021,88.6
Passenger_Index,Germany,2020,88.2
Passenger_Index,Germany,2019,112.0
Freight_Index,Germany,2021,137.4
Freight_Index,Germany,2020,131.1
Freight_Index,Germany,2019,136.5
International_Passenger,Canada,Jan-19,5849
International_Passenger,Canada,Feb-19,5496
International_Passenger,Canada,Mar-19,7254
International_Passenger,Canada,April 2019,7055
International_Passenger,Canada,May-19,7524
International_Passenger,Canada,Jun-19,8160
International_Passenger,Canada,Jul-19,9893
International_Passenger,Canada,Aug-19,10499
International_Passenger,Canada,Sep-19,7657
International_Passenger,Canada,Oct-19,6717
International_Passenger,Canada,Nov-19,5917
International_Passenger,Canada,Dec-19,6568
International_Passenger,Canada,Jan-20,5999
International_Passenger,Canada,Feb-20,5885
International_Passenger,Canada,Mar-20,4018
International_Passenger,Canada,April 2020,249
International_Passenger,Canada,May-20,282
International_Passenger,Canada,Jun-20,368
International_Passenger,Canada,Jul-20,429
International_Passenger,Canada,Aug-20,503
International_Passenger,Canada,Sep-20,472
International_Passenger,Canada,Oct-20,482
International_Passenger,Canada,Nov-20,453
International_Passenger,Canada,Dec-20,534
International_Passenger,Canada,Jan-21,546
International_Passenger,Canada,Feb-21,398
International_Passenger,Canada,Mar-21,429
International_Passenger,Canada,April 2021,469
International_Passenger,Canada,May-21,503
International_Passenger,Canada,Jun-21,535
International_Passenger,Canada,Jul-21,794
International_Passenger,Canada,Aug-21,1449
International_Passenger,Canada,Sep-21,1460
International_Passenger,Canada,Oct-21,1507
International_Passenger,Canada,Nov-21,1713
International_Passenger,Canada,Dec-21,2384
International_Passenger,Canada,Jan-22,1452
International_Passenger,Canada,Feb-22,1492
International_Passenger,Canada,Mar-22,2637
International_Passenger,Canada,April 2022,3792
International_Passenger,Canada,May-22,4289
International_Passenger,Canada,Jun-22,4747
International_Passenger,Canada,Jul-22,6126
International_Passenger,Canada,Aug-22,6249
International_Passenger,Canada,Sep-22,5022
International_Passenger,Canada,Oct-22,5026
International_Passenger,Canada,Nov-22,4354
International_Passenger,Canada,Dec-22,4673
International_Passenger,Canada,Jan-23,4704
International_Passenger,Canada,Feb-23,4482
International_Passenger,Canada,Mar-23,5590
CrossBorder_Truck,Canada,Jan-19,436
CrossBorder_Truck,Canada,Feb-19,412
CrossBorder_Truck,Canada,Mar-19,473
CrossBorder_Truck,Canada,April 2019,457
CrossBorder_Truck,Canada,May-19,493
CrossBorder_Truck,Canada,Jun-19,462
CrossBorder_Truck,Canada,Jul-19,453
CrossBorder_Truck,Canada,Aug-19,475
CrossBorder_Truck,Canada,Sep-19,448
CrossBorder_Truck,Canada,Oct-19,478
CrossBorder_Truck,Canada,Nov-19,460
CrossBorder_Truck,Canada,Dec-19,416
CrossBorder_Truck,Canada,Jan-20,429
CrossBorder_Truck,Canada,Feb-20,421
CrossBorder_Truck,Canada,Mar-20,436
CrossBorder_Truck,Canada,April 2020,315
CrossBorder_Truck,Canada,May-20,341
CrossBorder_Truck,Canada,Jun-20,422
CrossBorder_Truck,Canada,Jul-20,436
CrossBorder_Truck,Canada,Aug-20,442
CrossBorder_Truck,Canada,Sep-20,457
CrossBorder_Truck,Canada,Oct-20,474
CrossBorder_Truck,Canada,Nov-20,431
CrossBorder_Truck,Canada,Dec-20,430
CrossBorder_Truck,Canada,Jan-21,422
CrossBorder_Truck,Canada,Feb-21,407
CrossBorder_Truck,Canada,Mar-21,493
CrossBorder_Truck,Canada,April 2021,452
CrossBorder_Truck,Canada,May-21,443
CrossBorder_Truck,Canada,Jun-21,474
CrossBorder_Truck,Canada,Jul-21,448
CrossBorder_Truck,Canada,Aug-21,456
CrossBorder_Truck,Canada,Sep-21,454
CrossBorder_Truck,Canada,Oct-21,469
CrossBorder_Truck,Canada,Nov-21,454
CrossBorder_Truck,Canada,Dec-21,438
CrossBorder_Truck,Canada,Jan-22,399
CrossBorder_Truck,Canada,Feb-22,387
CrossBorder_Truck,Canada,Mar-22,495
CrossBorder_Truck,Canada,April 2022,459
CrossBorder_Truck,Canada,May-22,463
CrossBorder_Truck,Canada,Jun-22,476
CrossBorder_Truck,Canada,Jul-22,433
CrossBorder_Truck,Canada,Aug-22,468
CrossBorder_Truck,Canada,Sep-22,457
CrossBorder_Truck,Canada,Oct-22,448
CrossBorder_Truck,Canada,Nov-22,440
CrossBorder_Truck,Canada,Dec-22,400
CrossBorder_Truck,Canada,Jan-23,421
CrossBorder_Truck,Canada,Feb-23,406
CrossBorder_Truck,Canada,Mar-23,486
Passenger_Index,USA,2022-12,102.2
Passenger_Index,USA,2022-11,101.2
Passenger_Index,USA,2022-10,102.1
